district,sub_district,town_name,town_total_population,slum_name,is_notified,households_approx,slum_population_approx,paved_roads_km,drainage_system_code,private_latrines_pit,private_latrines_flush,private_latrines_service,private_latrines_others,private_latrines_community,public_water_tap_points,electricity_domestic_conn,electricity_road_lighting_conn,electricity_others_conn,households_without_private_latrine_access_est,sanitation_gap_ratio
Chennai,Area Not Under Any Sub-District,Chennai,4646732,SARMA NAGAR,1,1200,5040,3.5,2,0,900,0,0,0,80,1080,40,12,300.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,RAJARATHNAM NAGAR,1,325,1365,1.4,2,0,244,0,0,0,22,293,11,3,81.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,NAVALAR KUDIYIRUPPU,1,450,1890,2.4,2,0,338,0,0,0,30,405,15,5,112.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,VINOBHA NAGAR,1,750,3150,2.5,2,0,563,0,0,0,50,675,25,8,187.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,PATEL NAGAR,1,525,2205,2.5,2,0,394,0,0,0,35,473,18,5,131.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,SANJAY GANDHI NAGAR,1,750,3150,3,2,0,563,0,0,0,50,675,25,8,187.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,POONDI THANGAMMAL STREET,1,1500,6300,3.6,2,0,1125,0,0,0,100,1350,50,15,375.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,NAGOORAN THOTTAM,1,600,2520,2,2,0,450,0,0,0,40,540,20,6,150.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,FISHERMEN HOUSING,1,650,2730,2.5,2,0,488,0,0,0,43,585,22,7,162.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,CHERIAN NAGAR,1,1125,4725,3.3,2,0,844,0,0,0,75,1013,38,11,281.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,ASHOK NAGAR,1,650,2730,2.3,2,0,488,0,0,0,43,585,22,7,162.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,INDIRA GANDHI NAGR,1,465,1953,1.5,2,0,349,0,0,0,31,419,16,5,116.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,DESIYA NAGAR,1,300,1260,1.5,2,0,225,0,0,0,20,270,10,3,75.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,DHANAPAL NAGAR,1,100,420,0.5,2,0,75,0,0,0,7,90,4,1,25.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,SUNAMI KUDIYIRUPPU,1,900,3780,3,2,0,675,0,0,0,60,810,30,9,225.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,KEERAI THOTTAM,1,550,2310,2.4,2,0,413,0,0,0,37,495,19,6,137.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,V.O.C.NAGAR,1,1668,7006,3.8,2,0,1251,0,0,0,111,1501,56,17,417.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,ANNAI SATHYA NAGAR,1,365,1533,2.1,2,0,274,0,0,0,24,329,12,4,91.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,THILAGAR NAGAR,1,325,1365,1.6,2,0,244,0,0,0,22,293,11,3,81.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,M.G.R.NAGAR,1,750,3150,2.9,2,0,563,0,0,0,50,675,25,8,187.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,KARUMARIAMMAN NAGAR,1,125,525,0.5,2,0,94,0,0,0,8,113,4,1,31.0,0.248
Chennai,Area Not Under Any Sub-District,Chennai,12396,EZHIL NAGAR,1,1500,6300,3.8,2,0,1125,0,0,0,100,1350,50,15,375.0,0.25
