village_name,location_code,taluk,area_ha,population_2011,households,sc_population_pct_range,st_population_pct_range,primary_schools_count,middle_schools_count,secondary_schools_count,data_note
Onchiam,627341,Vadakara,873,28650,6289,less_than_5,less_than_5,13,3,2,"school counts = columns 8/9/10 of DCHB Village Directory (Primary/Middle/Secondary), mapped from column header order - not independently verified against original scan"
Vanimel,627342,Vadakara,2271,25680,5587,less_than_5,less_than_5,11,3,2,""
Vilangad,627343,Vadakara,2283,3778,916,less_than_5,21_to_30,4,2,1,""
Thinoor,627344,Vadakara,3516,5148,1229,less_than_5,less_than_5,not_found_in_extracted_range,not_found_in_extracted_range,not_found_in_extracted_range,"row used distance-range letter codes (a/b/c) instead of counts for cols 8-10 - source shows no in-village facility, nearest one is within respective distance band"
Kavilumpara,627345,Vadakara,8181,19212,4611,less_than_5,less_than_5,6,4,2,""
Kayakkodi,627346,Vadakara,2814,24578,5664,less_than_5,less_than_5,12,5,2,""
Narippatta,627347,Vadakara,1540,21381,4977,less_than_5,less_than_5,12,2,1,""
Purameri,627348,Vadakara,2027,27612,6185,less_than_5,less_than_5,19,2,2,""
Thiruvallur,627349,Vadakara,1150,14429,3235,5_to_10,less_than_5,8,3,1,""
Velom,627350,Vadakara,2581,26738,6082,less_than_5,less_than_5,9,2,1,""
Kuttiadi,627351,Vadakara,1523,19351,4511,less_than_5,less_than_5,8,3,2,""
Maruthonkara,627352,Vadakara,2991,23487,5689,less_than_5,less_than_5,9,4,1,""
Payyoli,627367,Quilandy,971,23576,5324,5_to_10,less_than_5,9,4,1,""
Cheruvannur,627368,Quilandy,2161,23388,5556,11_to_20,less_than_5,10,3,1,""
Palery,627369,Quilandy,1291,14680,3379,5_to_10,less_than_5,6,not_found_in_extracted_range,1,"col9 (Middle) shown as letter code b in source, not a count"
Changaroth,627370,Quilandy,1733,17427,4169,5_to_10,less_than_5,6,2,1,""
Chempanoda,627371,Quilandy,5381,5398,1361,11_to_20,less_than_5,3,3,2,""
Chakkittapara,627372,Quilandy,12420,11763,2904,11_to_20,less_than_5,4,2,not_found_in_extracted_range,"col10 shown as letter code c"
Perambra,627373,Quilandy,1446,11336,2722,5_to_10,less_than_5,6,2,1,""
Nochad,627374,Quilandy,2364,26857,6456,5_to_10,less_than_5,6,4,1,""
Moodadi,627375,Quilandy,1601,30170,6906,5_to_10,less_than_5,4,7,1,""
Arikkulam (Part),627376,Quilandy,1568,18378,4409,5_to_10,less_than_5,7,5,1,""
Kottur,627377,Quilandy,1178,12205,2978,5_to_10,less_than_5,6,2,not_found_in_extracted_range,"col10 shown as letter code a"
Kayanna,627378,Quilandy,2129,16776,4163,5_to_10,less_than_5,3,2,1,""
Koorachundu,627379,Quilandy,2256,12302,3003,5_to_10,less_than_5,3,3,2,""
Kanthalad,627380,Quilandy,2802,10003,2474,5_to_10,less_than_5,3,1,not_found_in_extracted_range,"col10 shown as letter code b"
Avitanallur,627381,Quilandy,1701,18398,4541,11_to_20,less_than_5,9,5,2,""
Chengottukavu,627382,Quilandy,1360,26791,6409,less_than_5,less_than_5,5,5,1,""
Kinalur,627383,Quilandy,1190,9930,2441,11_to_20,less_than_5,5,4,1,""
Unnikulam,627384,Quilandy,1868,24912,5739,5_to_10,less_than_5,9,3,2,""
Sivapuram,627385,Quilandy,1958,24436,5974,11_to_20,less_than_5,8,8,1,""
Kakkur,627401,Kozhikode,2041,22788,5551,11_to_20,less_than_5,7,4,2,""
Narikkuni,627402,Kozhikode,1785,24290,5785,11_to_20,less_than_5,6,6,2,""
Kizhakkoth,627403,Kozhikode,1991,31261,6940,5_to_10,less_than_5,12,3,3,""
Vavad,627404,Kozhikode,789,14818,3239,5_to_10,less_than_5,10,not_found_in_extracted_range,not_found_in_extracted_range,"cols 9/10 shown as letter codes b/b"
Raroth,627405,Kozhikode,2837,33286,7724,11_to_20,less_than_5,7,4,1,""
Kedavur,627406,Kozhikode,3130,27273,6196,11_to_20,less_than_5,9,5,1,""
Puthuppadi,627407,Kozhikode,3909,25965,6034,5_to_10,less_than_5,5,5,1,""
Engapuzha,627408,Kozhikode,2414,18244,4240,5_to_10,less_than_5,6,1,1,""
Koodathayi,627409,Kozhikode,2354,13563,3294,11_to_20,less_than_5,4,1,1,""
Kodencheri,627410,Kozhikode,4757,18738,4589,5_to_10,less_than_5,4,3,3,""
Nellipoyil,627411,Kozhikode,4731,11014,2725,less_than_5,less_than_5,4,1,1,""
Koodaranji,627412,Kozhikode,8703,18678,4423,less_than_5,less_than_5,10,4,3,""
Thiruvambadi,627413,Kozhikode,8396,28820,6771,5_to_10,less_than_5,8,7,3,""
Neeleswaram,627414,Kozhikode,1527,17286,3986,5_to_10,less_than_5,7,5,4,""
Puthur,627415,Kozhikode,1196,21466,4791,5_to_10,less_than_5,3,1,1,""
Chathamangalam,627416,Kozhikode,1157,18918,4063,11_to_20,less_than_5,8,4,2,""
Madavoor,627417,Kozhikode,1935,28672,6598,5_to_10,not_found_in_extracted_range,8,2,1,"source text cut off before confirming Madavoor's ST range - do not assume"
Kumaranallur,627418,Kozhikode,2670,18105,3969,5_to_10,not_found_in_extracted_range,3,2,2,"ST range not captured in extracted text range - do not assume"
Kakkad,627419,Kozhikode,1021,11950,2547,11_to_20,not_found_in_extracted_range,3,1,1,"ST range not captured in extracted text range - do not assume"
Kodiyathur,627420,Kozhikode,2990,29816,6355,not_found_in_extracted_range,not_found_in_extracted_range,9,7,4,"row falls outside the SC/ST appendix excerpt captured - do not assume"
