district,sub_district,town_name,town_total_population,slum_name,is_notified,households_approx,slum_population_approx,paved_roads_km,drainage_system_code,private_latrines_pit,private_latrines_flush,private_latrines_service,private_latrines_others,private_latrines_community,public_water_tap_points,electricity_domestic_conn,electricity_road_lighting_conn,electricity_others_conn,households_without_private_latrine_access_est,sanitation_gap_ratio
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,RAMABAI NAGAR,1,1182,5188,1,1,55,169,0,2,3,355,1051,95,0,955.0,0.808
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,JAI MALHAR SEVANAGAR GHATKOPAR,1,207,940,0.5,1,10,31,0,1,1,63,184,45,0,165.0,0.797
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,panchashil nagar bhatwadi,1,415,2100,1,1,23,69,0,2,2,125,369,95,0,321.0,0.773
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,shiv sandesh chawl,2,47,210,0.02,2,3,6,0,0,1,15,42,0,0,37.0,0.787
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,yeshvant nagar vikroli,1,199,944,0.5,3,10,31,0,0,1,60,177,45,0,157.0,0.789
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,"pawarwadi ambedkar nagar,bhat wadi",1,575,2520,1,3,27,82,0,0,1,173,512,95,0,465.0,0.809
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,sidharth nagar bhatwadi,1,808,3544,1,3,38,116,0,0,2,243,719,95,0,652.0,0.807
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,saibaba nagar,1,119,540,0.5,3,6,15,0,0,1,36,106,45,0,97.0,0.815
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,amrut nagar tambenagar ghatkopar,1,235,1228,0.5,3,13,32,0,0,2,71,209,30,0,188.0,0.8
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,"lower depo pada,vokroli",1,1067,5056,1,3,54,165,0,0,1,320,949,95,0,847.0,0.794
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,"ramaji nagar,hanuman nagar  bhatwadi",1,1524,6688,1,2,71,218,0,0,0,458,1355,95,0,1235.0,0.81
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,L ward slum area,2,127348,584523,165,3,167,1086,0,1227,1182,104172,118842,16500,167,124913.0,0.981
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,F/S mahashvari mandir,1,25,110,0.02,3,2,3,0,0,0,8,23,0,0,20.0,0.8
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,maheshvari mandir,1,25,110,0.02,3,2,3,0,0,0,8,23,0,0,20.0,0.8
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,shivneri tekadi,1,75,356,0.02,3,4,12,0,0,0,23,67,0,0,59.0,0.787
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,mu.kamgar zopadi  two,1,20,88,0.03,3,1,3,0,0,0,6,18,2,0,16.0,0.8
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,ramdut patra shed,1,19,84,0.03,3,1,3,0,0,0,6,17,2,0,15.0,0.789
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,shahyadri coloney,1,83,376,0.02,3,4,13,0,0,0,25,74,0,0,66.0,0.795
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,dhabholkar addada,1,506,2300,1,3,25,2,0,0,0,152,450,95,0,479.0,0.947
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,hanuman nagar,1,67,292,0.02,3,4,1,0,0,0,21,60,0,0,62.0,0.925
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,bhau shinde patra chawl,1,65,284,0.02,3,3,8,0,0,0,20,58,0,0,54.0,0.831
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,mahatma gandhi vistar,1,821,3600,0.7,3,38,1,0,0,0,247,730,60,0,782.0,0.952
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,mahatma gandhi vasahat,1,456,2000,1,3,22,1,0,0,0,137,406,95,0,433.0,0.95
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,chandika sansthan,1,102,444,0.5,3,5,2,0,0,0,31,91,30,0,95.0,0.931
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,ramlaxman tekadi,1,179,844,0.5,3,9,3,0,0,0,54,160,45,0,167.0,0.933
Mumbai/Mumbai Suburban,Area not under any Sub-district,Greater Mumbai (M Corp.) (Part),9356962,new shivaji nagar,1,84,380,0.02,3,4,1,0,0,0,26,75,0,0,79.0,0.94
